연령대,총_주중_이용시간,총_주말_이용시간,평균_주중_빈도,평균_주말_빈도,편중_HHI_주중,편중_HHI_주말,B1,C1,cluster,cluster_3-5세,cluster_6-8세,cluster_9-11세
3-5세,0,40,0.0,0.5,0.0,0.625,4,4,2,2.0,,
3-5세,60,60,1.25,0.5,1.0,1.0,5,5,0,1.0,,
3-5세,120,480,1.25,1.0,1.0,0.5,3,3,2,2.0,,
3-5세,120,120,3.75,1.5,0.375,0.375,3,3,3,2.0,,
3-5세,0,150,0.0,0.75,0.0,0.6800000000000002,4,5,2,2.0,,
3-5세,150,240,2.5,1.0,0.6800000000000002,0.625,2,2,2,2.0,,
3-5세,90,150,1.25,0.5,1.0,1.0,5,9,0,1.0,,
3-5세,60,180,0.5,0.5,1.0,1.0,4,6,0,1.0,,
3-5세,40,120,1.25,0.5,1.0,0.5,3,4,2,1.0,,
3-5세,60,90,0.75,0.5,0.5,0.5555555555555556,4,5,2,1.0,,
3-5세,180,180,4.0,1.25,0.2777777777777778,0.2777777777777778,2,4,3,2.0,,
3-5세,180,300,1.25,0.5,1.0,1.0,3,3,0,1.0,,
3-5세,120,120,0.75,0.25,1.0,1.0,4,4,0,1.0,,
3-5세,75,75,1.75,0.75,0.6800000000000002,0.6800000000000002,6,5,2,1.0,,
3-5세,60,60,1.0,0.25,1.0,1.0,1,9,0,1.0,,
3-5세,60,60,0.5,0.25,1.0,1.0,6,9,0,1.0,,
3-5세,60,90,1.25,0.5,1.0,1.0,4,5,0,1.0,,
3-5세,150,180,2.5,1.0,0.52,0.5555555555555556,5,7,2,2.0,,
3-5세,300,240,1.75,1.25,0.28,0.375,2,5,3,2.0,,
3-5세,120,120,2.5,1.0,0.5,0.5,3,3,2,2.0,,
3-5세,180,120,1.25,1.0,0.3333333333333333,0.5,6,6,2,2.0,,
3-5세,120,120,1.25,0.5,1.0,1.0,5,5,0,1.0,,
3-5세,30,120,0.75,0.5,1.0,0.5,3,3,2,1.0,,
3-5세,210,360,3.5,1.5,0.2653061224489795,0.3333333333333333,6,6,3,2.0,,
3-5세,60,60,0.5,0.25,1.0,1.0,1,1,0,1.0,,
3-5세,540,780,2.25,1.5,0.4320987654320988,0.4437869822485207,2,3,1,0.0,,
3-5세,60,120,1.5,0.5,0.5,1.0,4,4,0,1.0,,
3-5세,123,423,3.0,1.5,0.4919690660321237,0.4272253240112,6,6,3,2.0,,
3-5세,90,180,1.5,0.5,0.5555555555555556,0.5555555555555556,2,4,2,2.0,,
3-5세,120,180,1.25,0.5,1.0,1.0,3,3,0,1.0,,
3-5세,570,840,5.0,2.0,0.3074792243767312,0.336734693877551,5,5,1,0.0,,
3-5세,125,240,1.5,1.0,0.9232,0.5,1,6,2,2.0,,
3-5세,780,720,2.75,1.75,0.2899408284023669,0.2777777777777778,6,6,1,0.0,,
3-5세,10,0,0.75,0.0,1.0,0.0,6,6,2,1.0,,
3-5세,180,240,1.25,1.0,0.5555555555555556,0.5,7,7,2,2.0,,
3-5세,90,160,0.5,0.75,1.0,0.625,4,4,0,1.0,,
3-5세,63,57,1.75,0.75,0.9380196523053664,0.9316712834718376,7,9,0,1.0,,
3-5세,60,120,1.25,1.0,1.0,0.5,4,6,2,1.0,,
3-5세,150,180,1.5,0.75,0.6800000000000002,0.5555555555555556,4,4,2,2.0,,
3-5세,0,240,0.0,1.0,0.0,0.5,5,5,2,2.0,,
3-5세,180,180,1.25,0.5,1.0,1.0,7,7,0,1.0,,
3-5세,0,180,0.0,0.25,0.0,1.0,6,9,0,1.0,,
3-5세,300,360,2.0,0.75,0.6800000000000002,0.7222222222222223,3,4,2,2.0,,
3-5세,60,60,1.25,0.5,1.0,1.0,3,9,0,1.0,,
3-5세,120,240,1.25,0.5,1.0,1.0,4,9,0,1.0,,
3-5세,210,210,3.75,1.0,0.4285714285714285,0.7551020408163265,3,4,3,2.0,,
3-5세,0,150,0.0,0.5,0.0,0.6800000000000002,5,5,2,2.0,,
3-5세,0,60,0.0,0.25,0.0,1.0,6,9,0,1.0,,
3-5세,40,190,0.5,1.0,0.625,0.9002770083102491,6,7,0,1.0,,
3-5세,190,130,3.75,1.5,0.5013850415512465,0.4319526627218935,7,7,3,2.0,,
3-5세,90,270,0.75,0.5,1.0,1.0,4,7,0,1.0,,
3-5세,120,360,1.25,1.0,1.0,0.5555555555555556,2,4,2,1.0,,
3-5세,240,360,1.5,0.75,0.625,0.7222222222222223,5,5,2,2.0,,
3-5세,60,120,2.5,1.0,0.5,0.5,4,9,2,2.0,,
3-5세,120,120,2.0,1.0,0.5,0.5,6,7,2,2.0,,
3-5세,120,120,1.25,0.5,1.0,1.0,5,7,0,1.0,,
3-5세,180,420,3.25,1.25,0.3333333333333333,0.346938775510204,3,7,3,2.0,,
3-5세,240,600,4.5,2.0,0.25,0.26,6,7,3,0.0,,
3-5세,120,240,3.5,1.0,0.375,0.625,3,3,3,2.0,,
3-5세,125,300,2.75,0.5,0.4624,1.0,3,6,0,1.0,,
3-5세,240,360,3.0,1.5,0.40625,0.3888888888888889,4,5,3,2.0,,
3-5세,90,150,2.5,1.0,0.5555555555555556,0.6800000000000002,5,6,2,2.0,,
3-5세,120,300,0.25,0.75,1.0,0.6800000000000002,6,6,0,1.0,,
3-5세,200,260,3.75,1.75,0.2799999999999999,0.4289940828402367,2,6,3,2.0,,
3-5세,240,240,2.5,1.0,0.5,0.5,4,6,3,2.0,,
3-5세,240,180,2.5,1.0,0.625,0.5555555555555556,2,2,2,2.0,,
